dep,sexe,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
69,1,2021-02-10,419,91,,,,5180,1327
69,2,2021-02-10,391,48,,,,5209,928
70,0,2021-02-10,121,15,,,,813,189
70,1,2021-02-10,52,11,,,,424,112
70,2,2021-02-10,69,4,,,,388,76
71,0,2021-02-10,476,29,,,,3159,837
71,1,2021-02-10,224,19,,,,1470,437
71,2,2021-02-10,246,10,,,,1667,396
72,0,2021-02-10,218,11,,,,1712,400
72,1,2021-02-10,88,6,,,,779,231
72,2,2021-02-10,128,5,,,,925,167
73,0,2021-02-10,118,17,,,,2102,552
73,1,2021-02-10,70,13,,,,1042,316
73,2,2021-02-10,46,4,,,,1052,234
74,0,2021-02-10,256,24,,,,3546,771
74,1,2021-02-10,124,14,,,,1862,459
74,2,2021-02-10,127,10,,,,1667,309
75,0,2021-02-10,847,209,,,,12576,3019
75,1,2021-02-10,480,142,,,,6807,1902
75,2,2021-02-10,360,65,,,,5695,1110
76,0,2021-02-10,627,59,,,,3598,953
76,1,2021-02-10,302,45,,,,1750,525
76,2,2021-02-10,319,14,,,,1820,420
77,0,2021-02-10,433,79,,,,5617,1375
77,1,2021-02-10,226,53,,,,2964,789
77,2,2021-02-10,204,26,,,,2618,583
78,0,2021-02-10,645,55,,,,5389,1281
78,1,2021-02-10,294,43,,,,2739,749
78,2,2021-02-10,350,12,,,,2633,530
79,0,2021-02-10,75,9,,,,607,189
79,1,2021-02-10,39,8,,,,283,108
79,2,2021-02-10,36,1,,,,320,80
80,0,2021-02-10,286,30,,,,1796,575
80,1,2021-02-10,136,19,,,,878,332
80,2,2021-02-10,143,10,,,,883,237
81,0,2021-02-10,164,21,,,,804,244
81,1,2021-02-10,80,20,,,,402,146
81,2,2021-02-10,83,1,,,,398,97
82,0,2021-02-10,82,17,,,,517,124
82,1,2021-02-10,45,11,,,,280,66
82,2,2021-02-10,33,5,,,,230,52
83,0,2021-02-10,583,67,,,,3426,785
83,1,2021-02-10,283,47,,,,1743,454
83,2,2021-02-10,288,18,,,,1652,321
84,0,2021-02-10,291,14,,,,2332,605
84,1,2021-02-10,142,7,,,,1161,354
84,2,2021-02-10,148,7,,,,1135,240
85,0,2021-02-10,108,7,,,,924,175
85,1,2021-02-10,54,6,,,,467,109
85,2,2021-02-10,54,1,,,,455,66
86,0,2021-02-10,76,13,,,,705,173
86,1,2021-02-10,34,7,,,,362,90
