dep,sexe,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
73,2,2022-11-27,51,5,35.0,8.0,3.0,3321,439
74,0,2022-11-27,194,8,124.0,57.0,5.0,9998,1524
74,1,2022-11-27,91,7,58.0,23.0,3.0,5053,899
74,2,2022-11-27,102,1,65.0,34.0,2.0,4873,610
75,0,2022-11-27,1074,80,687.0,298.0,9.0,36751,6268
75,1,2022-11-27,458,52,288.0,114.0,4.0,18896,3851
75,2,2022-11-27,604,28,392.0,179.0,5.0,17555,2382
76,0,2022-11-27,359,17,188.0,111.0,43.0,14865,2303
76,1,2022-11-27,156,7,86.0,45.0,18.0,7089,1256
76,2,2022-11-27,198,9,102.0,65.0,22.0,7673,1035
77,0,2022-11-27,312,22,131.0,153.0,6.0,16347,2920
77,1,2022-11-27,144,14,66.0,61.0,3.0,8053,1639
77,2,2022-11-27,167,8,64.0,92.0,3.0,8204,1262
78,0,2022-11-27,638,36,405.0,170.0,27.0,14751,2578
78,1,2022-11-27,294,25,183.0,75.0,11.0,7181,1504
78,2,2022-11-27,330,11,212.0,93.0,14.0,7465,1068
79,0,2022-11-27,120,10,96.0,13.0,1.0,3119,438
79,1,2022-11-27,55,6,42.0,7.0,0.0,1450,249
79,2,2022-11-27,64,4,53.0,6.0,1.0,1643,186
80,0,2022-11-27,202,7,118.0,70.0,7.0,5226,1201
80,1,2022-11-27,92,5,60.0,23.0,4.0,2573,673
80,2,2022-11-27,107,2,56.0,47.0,2.0,2545,508
81,0,2022-11-27,46,2,21.0,22.0,1.0,3275,624
81,1,2022-11-27,22,2,8.0,12.0,0.0,1641,376
81,2,2022-11-27,23,0,12.0,10.0,1.0,1618,247
82,0,2022-11-27,72,1,29.0,42.0,0.0,2374,392
82,1,2022-11-27,35,0,14.0,21.0,0.0,1244,205
82,2,2022-11-27,37,1,15.0,21.0,0.0,1103,179
83,0,2022-11-27,302,14,169.0,117.0,2.0,13872,2651
83,1,2022-11-27,136,7,82.0,46.0,1.0,6835,1531
83,2,2022-11-27,162,6,85.0,70.0,1.0,6896,1101
84,0,2022-11-27,169,1,111.0,56.0,1.0,9527,1559
84,1,2022-11-27,76,1,52.0,23.0,0.0,4641,877
84,2,2022-11-27,90,0,58.0,31.0,1.0,4779,659
85,0,2022-11-27,41,4,29.0,7.0,1.0,3817,538
85,1,2022-11-27,20,2,14.0,4.0,0.0,1915,333
85,2,2022-11-27,21,2,15.0,3.0,1.0,1797,185
86,0,2022-11-27,82,1,60.0,21.0,0.0,3874,497
86,1,2022-11-27,47,1,37.0,9.0,0.0,1956,281
86,2,2022-11-27,35,0,23.0,12.0,0.0,1893,212
87,0,2022-11-27,51,1,40.0,10.0,0.0,2362,488
87,1,2022-11-27,23,0,20.0,3.0,0.0,1111,285
87,2,2022-11-27,28,1,20.0,7.0,0.0,1239,202
88,0,2022-11-27,111,4,88.0,19.0,0.0,6178,1148
88,1,2022-11-27,44,3,38.0,3.0,0.0,2856,623
88,2,2022-11-27,65,1,48.0,16.0,0.0,3286,519
89,0,2022-11-27,145,5,89.0,51.0,0.0,4903,946
89,1,2022-11-27,55,3,35.0,17.0,0.0,2306,519
89,2,2022-11-27,88,2,54.0,32.0,0.0,2552,421
90,0,2022-11-27,74,5,55.0,14.0,0.0,4540,933
90,1,2022-11-27,40,2,33.0,5.0,0.0,2228,546
90,2,2022-11-27,34,3,22.0,9.0,0.0,2310,387
91,0,2022-11-27,352,19,150.0,167.0,16.0,16936,2642
91,1,2022-11-27,134,13,69.0,49.0,3.0,7984,1453
91,2,2022-11-27,208,6,77.0,112.0,13.0,8199,1118
92,0,2022-11-27,756,58,367.0,304.0,27.0,23769,3584
92,1,2022-11-27,347,40,180.0,120.0,7.0,11946,2057
92,2,2022-11-27,371,17,176.0,163.0,15.0,11589,1499
93,0,2022-11-27,955,45,361.0,514.0,35.0,20472,3168
93,1,2022-11-27,438,29,161.0,235.0,13.0,10406,1840
93,2,2022-11-27,492,15,188.0,276.0,13.0,9772,1287
94,0,2022-11-27,611,31,351.0,194.0,35.0,22907,3956
94,1,2022-11-27,256,10,149.0,78.0,19.0,11213,2217
94,2,2022-11-27,335,21,192.0,107.0,15.0,11398,1697
95,0,2022-11-27,348,11,196.0,132.0,9.0,15637,2745
95,1,2022-11-27,147,7,89.0,46.0,5.0,7823,1624
95,2,2022-11-27,199,4,107.0,84.0,4.0,7666,1101
971,0,2022-11-27,31,4,22.0,5.0,0.0,5186,1102
971,1,2022-11-27,11,3,8.0,0.0,0.0,2636,614
971,2,2022-11-27,20,1,14.0,5.0,0.0,2520,484
972,0,2022-11-27,48,3,37.0,8.0,0.0,4506,1073
972,1,2022-11-27,29,3,21.0,5.0,0.0,2182,590
972,2,2022-11-27,17,0,14.0,3.0,0.0,2287,475
973,0,2022-11-27,21,2,17.0,2.0,0.0,6163,402
973,1,2022-11-27,5,1,3.0,1.0,0.0,2367,235
973,2,2022-11-27,14,1,12.0,1.0,0.0,3767,165
974,0,2022-11-27,104,5,24.0,75.0,0.0,8370,943
974,1,2022-11-27,53,2,15.0,36.0,0.0,3911,523
974,2,2022-11-27,49,3,8.0,38.0,0.0,4405,414
976,0,2022-11-27,8,0,8.0,0.0,0.0,1703,163
976,1,2022-11-27,5,0,5.0,0.0,0.0,709,100
976,2,2022-11-27,3,0,3.0,0.0,0.0,969,61
978,0,2022-11-27,0,0,0.0,0.0,0.0,0,0
978,1,2022-11-27,0,0,0.0,0.0,0.0,0,0
01,0,2022-11-28,86,2,43.0,39.0,2.0,4526,814
01,1,2022-11-28,34,0,18.0,15.0,1.0,2213,474
